model_name,model_type,features,fit_intercept,eligible_for_recommendation,intercept,slope,mae,mape,r2,loo_mae,loo_mape,loo_max_ape,coef_raw_unique_devices,coef_clean_unique_devices,coef_raw_sessions,coef_clean_sessions,coef_trusted_unique_devices,coef_local_unique_devices,coef_mean_signal_level,coef_zero_duration_ratio,coef_trusted_share_of_clean_unique,coef_local_share_of_clean_unique,selected_for_delivery,selection_note
origin_mean_signal_level,linear,mean_signal_level,False,False,0.0,7.078666657338585,37.3514844450641,0.062096526821914286,-0.13395864759527498,49.75086426562672,0.08273474733112479,0.153184233811104,,,,,,,7.078666657338585,,,,False,Diagnostic comparison model
origin_zero_duration_ratio,linear,zero_duration_ratio,False,False,0.0,606.6272892538432,37.475742342507885,0.06232292516731257,-0.1370809137500315,49.891539858804265,0.08299471261000997,0.15360878087712376,,,,,,,,606.6272892538432,,,False,Diagnostic comparison model
linear_local_share_of_clean_unique,linear,local_share_of_clean_unique,True,False,-5213.402055714892,5834.976336523766,27.059964214251067,0.04574542214276452,0.2671273568924235,54.383453617428586,0.09146428791095018,0.17191324934290605,,,,,,,,,,5834.976336523766,False,Diagnostic comparison model
linear_zero_duration_ratio,linear,zero_duration_ratio,True,False,1363.1020128558002,-816.9499801945592,31.498154711327288,0.05269349283872529,0.06729416380638831,59.060748265518924,0.10022339951583213,0.1952783341296361,,,,,,,,-816.9499801945592,,,False,Diagnostic comparison model
linear_mean_signal_level,linear,mean_signal_level,True,False,1108.0954351083028,-6.424786345454491,32.747912366527316,0.05473632980366193,0.03918647565736122,60.1467555957434,0.10192596761620212,0.15021724471858927,,,,,,,-6.424786345454491,,,,False,Diagnostic comparison model
linear_trusted_share_of_clean_unique,linear,trusted_share_of_clean_unique,True,False,592.0926003039285,-1051.6439843244636,34.16634093601158,0.05703549862520329,0.011038506391145675,80.1702976716318,0.13848714324451292,0.3042900058799176,,,,,,,,,-1051.6439843244636,,False,Diagnostic comparison model
blend_trusted_clean,linear,trusted_unique_devices+clean_unique_devices,True,False,517.0851474351397,2.3796736333085144,16.932169291732123,0.02951759777780106,0.799735471915623,94.34635034328777,0.16257789251847676,0.2762987012987012,,-0.0002987421422075981,,,2.3796736333085144,,,,,,False,Diagnostic comparison model
origin_trusted_share_of_clean_unique,linear,trusted_share_of_clean_unique,False,False,0.0,47800.601835380985,198.78317925456776,0.3433236227667048,-27.359439008081946,254.9196835270284,0.4407437866338869,0.6235954614904278,,,,,,,,,47800.601835380985,,False,Diagnostic comparison model
origin_raw_sessions,linear,raw_sessions,False,False,0.0,0.13915695221847413,224.64194584555338,0.38989017239459367,-46.018203452762265,299.2300648331007,0.5063772858961395,0.8249998350571667,,,0.13915695221847413,,,,,,,,False,Diagnostic comparison model
origin_raw_unique_devices,linear,raw_unique_devices,False,False,0.0,0.13961180394664793,224.85520903371076,0.3902437631359897,-45.987955660677194,299.984164310221,0.5075879669019232,0.824674844629792,0.13961180394664793,,,,,,,,,,False,Diagnostic comparison model
