facility_num,hour_start,footfall_plan_b,plan_name,footfall_col,zscore_hod_baseline,is_anomaly_hod,matrix_profile_score,is_matrix_profile_anomaly,stl_score,is_stl_anomaly,isolation_forest_score,is_isolation_forest_anomaly,markov_score,markov_journey_count,is_markov_hour_anomaly,is_anomaly_consensus,zscore_score,zscore_norm,matrix_profile_norm,stl_norm,isolation_forest_norm,markov_norm,ensemble_score,method_agreement_count,is_consensus_anomaly
66333,2026-04-23 00:00:00+00:00,13.42,plan_b,footfall_plan_b,-0.351838815662369,False,0.9282881341921936,False,0.37116335867271527,False,0.43465688982488726,False,154.3860173812903,1.0,False,False,0.351838815662369,0.14784860556122362,0.09652156816247101,0.004969595191264804,0.18493216131706966,0.23651024714435487,0.134156,0,False
66338,2026-04-24 07:00:00+00:00,0.0,plan_b,footfall_plan_b,-0.6000337294178186,False,1.8382063949776997,False,8.425117003506328,False,0.40044318487583397,False,,,False,False,0.6000337294178186,0.2521442951571801,0.1911330731421324,0.11280591138143038,0.11435386891324563,0.0,0.134087,0,False
66338,2026-04-23 20:00:00+00:00,0.0,plan_b,footfall_plan_b,-0.8495400406979627,False,1.614136705708238,False,1.0485531674423028,False,0.4077126546826269,False,,,False,False,0.8495400406979627,0.3569910561151678,0.16783474906650844,0.014039329737021818,0.1293498118083105,0.0,0.133643,0,False
66331,2026-04-24 00:00:00+00:00,10.27,plan_b,footfall_plan_b,-0.3496324564696809,False,1.931340951882527,False,0.5453853414983264,False,0.4172752423594758,False,106.99405734693545,23.0,False,False,0.3496324564696809,0.14692145620906358,0.20081702056261042,0.007302295086962842,0.14907614984152953,0.1639085674682846,0.133605,0,False
66333,2026-04-22 21:00:00+00:00,0.69,plan_b,footfall_plan_b,-0.9126661804032279,False,1.6571377764286035,False,2.5392869343811664,False,0.3453912503491797,False,48.79137271918094,1.0,False,False,0.9126661804032279,0.38351772490330593,0.17230591553488825,0.033999121528236795,0.0007890989415594021,0.07474549713803476,0.133071,0,False
66342,2026-04-24 22:00:00+00:00,74.69,plan_b,footfall_plan_b,-0.40944926811322613,False,0.7617218894335641,False,0.4043030237662209,False,0.4211812219157503,False,162.96562494435125,99.0,False,False,0.40944926811322613,0.17205748952013303,0.07920233876067814,0.005413310112041865,0.1571336626907403,0.24965369847213706,0.132692,0,False
66330,2026-04-20 01:00:00+00:00,5.05,plan_b,footfall_plan_b,-0.7441889534389322,False,0.0,False,0.3014816579034875,False,0.49548506610524207,False,22.700713993374748,12.0,False,False,0.7441889534389322,0.3127207520661868,0.0,0.0040366101943075505,0.31041254464004064,0.034776151156659274,0.132389,0,False
66332,2026-04-25 03:00:00+00:00,25.81,plan_b,footfall_plan_b,0.820235673282294,False,1.4234495694105485,False,0.6359541575271107,False,0.4214031312678761,False,,,False,False,0.820235673282294,0.3446768665874892,0.1480074769664719,0.008514942677567479,0.15759143197251785,0.0,0.131758,0,False
66342,2026-04-24 23:00:00+00:00,37.17,plan_b,footfall_plan_b,-0.4644406568320762,False,0.6828689026211942,False,0.17592998277695202,False,0.43443034672978165,False,133.92581866689878,41.0,False,False,0.4644406568320762,0.19516579871748793,0.07100336081290141,0.0023555687165191922,0.18446483324394108,0.20516643287513736,0.131631,0,False
66331,2026-04-22 00:00:00+00:00,8.75,plan_b,footfall_plan_b,-0.4333993859188456,False,0.9597896937234887,False,0.9108777026198055,False,0.4140368544248174,False,143.33814905146377,78.0,False,False,0.4333993859188456,0.1821217330400574,0.09979703815236804,0.012195959932460006,0.14239578912322454,0.21958556631233145,0.131219,0,False
66333,2026-04-24 04:00:00+00:00,20.31,plan_b,footfall_plan_b,0.15219351639411044,False,1.144854046078218,False,0.9894450291589844,False,0.4522372097364734,False,154.3860173812903,3.0,False,False,0.15219351639411044,0.06395428296325725,0.11903966427490797,0.013247916703074113,0.221198007448622,0.23651024714435487,0.13079,0,False
