model_name,facility_num,started,manual_total_count,predicted,abs_error,ape
capture_median_raw_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,105.11173901875159,459.88826098124844,0.8139615238606167
capture_median_raw_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,1061.7272727272727,511.72727272727275,0.9304132231404959
capture_median_raw_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,289.0572823015669,268.9427176984331,0.48197619659217406
capture_median_clean_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,1585.4632713026442,934.4632713026442,1.4354274520777945
capture_median_clean_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,104.59341224909933,460.40658775090066,0.8148789163732755
capture_median_clean_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,1061.894221351616,511.8942213516159,0.9307167660938471
capture_median_clean_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,289.01183736489963,268.98816263510037,0.48205763913100425
capture_median_clean_sessions,66330,2026-04-23 13:00:00+00:00,651.0,1587.2303178484108,936.2303178484108,1.4381418092909535
capture_median_clean_sessions,66333,2026-04-23 15:00:00+00:00,565.0,104.08450704225352,460.9154929577465,0.8157796335535337
capture_median_clean_sessions,66330,2026-04-24 13:00:00+00:00,550.0,1065.520782396088,515.520782396088,0.9373105134474327
capture_median_clean_sessions,66333,2026-04-24 15:00:00+00:00,558.0,288.02816901408454,269.97183098591546,0.4838204856378413
capture_median_local_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,1596.9678377041068,945.9678377041068,1.4530995970877216
capture_median_local_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,103.83522727272728,461.16477272727275,0.8162208366854385
capture_median_local_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,1069.0628401781296,519.0628401781296,0.9437506185056902
capture_median_local_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,287.0738636363637,270.9261363636363,0.48553071032909734
capture_mean_raw_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,2270.5582068687836,1619.5582068687836,2.487800624990451
capture_mean_raw_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,130.48549628085706,434.5145037191429,0.7690522189719343
capture_mean_raw_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,1484.8947630215634,934.8947630215634,1.6998086600392062
capture_mean_raw_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,690.7517814390236,132.7517814390236,0.23790641834950466
capture_mean_clean_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,2280.847241931406,1629.8472419314062,2.503605594364679
capture_mean_clean_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,129.81715129047043,435.1828487095296,0.7702351304593444
capture_mean_clean_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,1489.6474288427173,939.6474288427173,1.7084498706231224
capture_mean_clean_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,693.1113526411467,135.1113526411467,0.24213504057553173
capture_mean_clean_sessions,66330,2026-04-23 13:00:00+00:00,651.0,2284.631385816312,1633.631385816312,2.5094184113921845
capture_mean_clean_sessions,66333,2026-04-23 15:00:00+00:00,565.0,129.4774959804461,435.52250401955393,0.7708362903000955
capture_mean_clean_sessions,66330,2026-04-24 13:00:00+00:00,550.0,1496.0324156116037,946.0324156116037,1.7200589374756432
capture_mean_clean_sessions,66333,2026-04-24 15:00:00+00:00,558.0,693.4629850428672,135.46298504286722,0.24276520617001293
capture_mean_local_unique_devices,66330,2026-04-23 13:00:00+00:00,651.0,2296.3640875089636,1645.3640875089636,2.5274409946374248
capture_mean_local_unique_devices,66333,2026-04-23 15:00:00+00:00,565.0,129.31347648150972,435.6865235184903,0.7711265902982128
capture_mean_local_unique_devices,66330,2026-04-24 13:00:00+00:00,550.0,1499.1953227584208,949.1953227584208,1.7258096777425833
capture_mean_local_unique_devices,66333,2026-04-24 15:00:00+00:00,558.0,692.2000036057426,134.2000036057426,0.24050179857659965
