device_id,first_seen,last_seen,unique_facilities,path_steps,path
8440607651911071844,2026-04-26 14:34:02+00:00,2026-04-26 14:35:55+00:00,3,3,66331 -> 66330 -> 66335
8903537434034479727,2026-04-25 17:03:59+00:00,2026-04-25 17:03:59+00:00,2,2,66333 -> 66342
88229089714625099,2026-04-25 14:54:58+00:00,2026-04-25 17:45:47+00:00,3,4,66342 -> 66333 -> 66331 -> 66342
2415051297192666346,2026-04-25 23:32:37+00:00,2026-04-25 23:32:37+00:00,2,2,66340 -> 66333
9104917324363338047,2026-04-20 19:24:00+00:00,2026-04-20 19:24:01+00:00,2,2,66331 -> 66330
-3463828423678230519,2026-04-23 13:22:17+00:00,2026-04-23 13:22:17+00:00,2,2,66333 -> 66342
-5531595498098741929,2026-04-22 13:58:30+00:00,2026-04-22 13:58:30+00:00,2,2,66331 -> 66332
-3382138395979644729,2026-04-23 14:44:45+00:00,2026-04-24 10:45:21+00:00,2,2,66342 -> 66332
-6163463173207442238,2026-04-21 17:40:39+00:00,2026-04-26 12:16:01+00:00,3,3,66332 -> 66330 -> 66331
4689846917614421588,2026-04-25 13:53:28+00:00,2026-04-25 13:53:28+00:00,2,2,66333 -> 66342
5429551665438994208,2026-04-25 21:19:19+00:00,2026-04-25 21:19:19+00:00,2,2,66330 -> 66331
5028172943960332190,2026-04-22 13:06:07+00:00,2026-04-22 13:06:07+00:00,2,2,66330 -> 66331
5101942208281448531,2026-04-25 16:14:03+00:00,2026-04-25 16:14:03+00:00,2,2,66342 -> 66340
-1933123300295712873,2026-04-25 08:13:17+00:00,2026-04-25 10:07:48+00:00,2,3,66340 -> 66336 -> 66340
828998894560916504,2026-04-25 08:39:18+00:00,2026-04-25 08:54:05+00:00,4,4,66333 -> 66342 -> 66340 -> 66336
-2495629179262977080,2026-04-25 13:02:38+00:00,2026-04-25 13:02:38+00:00,2,2,66330 -> 66331
4756383182361091213,2026-04-25 14:33:34+00:00,2026-04-25 15:01:00+00:00,3,3,66333 -> 66342 -> 66340
-2592948096344979026,2026-04-21 14:51:29+00:00,2026-04-21 14:51:30+00:00,2,2,66331 -> 66330
5162757590759061615,2026-04-26 12:14:02+00:00,2026-04-26 12:14:03+00:00,2,2,66331 -> 66330
-8085895664607117899,2026-04-25 11:34:35+00:00,2026-04-25 11:34:35+00:00,2,2,66330 -> 66331
-2724925020041695304,2026-04-25 11:37:59+00:00,2026-04-25 11:37:59+00:00,2,2,66330 -> 66331
3740261902984386647,2026-04-26 11:15:41+00:00,2026-04-26 11:15:41+00:00,2,2,66330 -> 66331
-1131395023479628906,2026-04-23 13:26:25+00:00,2026-04-23 13:26:25+00:00,2,2,66333 -> 66342
7111613258452191290,2026-04-22 20:18:08+00:00,2026-04-25 11:54:18+00:00,3,3,66331 -> 66335 -> 66340
-8018927419095473745,2026-04-20 11:02:13+00:00,2026-04-20 11:02:59+00:00,2,2,66330 -> 66331
-4006874654109189361,2026-04-24 12:35:05+00:00,2026-04-24 12:35:06+00:00,2,2,66342 -> 66333
