facility_num,hour_start,footfall_plan_b,plan_name,footfall_col,zscore_hod_baseline,is_anomaly_hod,matrix_profile_score,is_matrix_profile_anomaly,stl_score,is_stl_anomaly,isolation_forest_score,is_isolation_forest_anomaly,markov_score,markov_journey_count,is_markov_hour_anomaly,is_anomaly_consensus,zscore_score,zscore_norm,matrix_profile_norm,stl_norm,isolation_forest_norm,markov_norm,ensemble_score,method_agreement_count,is_consensus_anomaly
66336,2026-04-25 01:00:00+00:00,81.6,plan_b,footfall_plan_b,0.8679852752240564,False,0.7556587525544356,False,0.41157575347213265,False,0.4440225115051482,False,260.15769419081494,4.0,False,False,0.8679852752240564,0.3647377874030613,0.0835573489187313,0.004958796334725288,0.2069138461814147,0.39854619992957874,0.211743,0,False
66342,2026-04-24 20:00:00+00:00,270.8,plan_b,footfall_plan_b,-0.313157139916202,False,0.7678765059661267,False,0.6287466546564237,False,0.5238685925543899,False,303.23053589532776,388.0,False,False,0.313157139916202,0.1315923732611965,0.084908333184278,0.007575340821898452,0.3700263069441297,0.46453124578761484,0.211727,0,False
66340,2026-04-20 20:00:00+00:00,698.37,plan_b,footfall_plan_b,0.34131949782975857,False,1.2327666275134643,False,0.4558002491081934,False,0.4837878205507617,False,316.6477433941975,26.0,False,False,0.34131949782975857,0.14342653267224434,0.13631379360366752,0.0054916272048995225,0.288147856995543,0.48508561408709366,0.211693,0,False
66336,2026-04-25 08:00:00+00:00,523.01,plan_b,footfall_plan_b,-0.28298241613540565,False,1.6709712759298803,False,0.7897339183821923,False,0.517015232430808,False,253.62577016679964,13.0,False,False,0.28298241613540565,0.11891259365956072,0.1847684943290492,0.009514966872670772,0.35602601513818494,0.38853967866909034,0.211552,0,False
66330,2026-04-22 20:00:00+00:00,156.94,plan_b,footfall_plan_b,-0.7350020506783786,False,0.9330137621179095,False,6.770362633075576,False,0.49924887370294324,False,159.28947949946553,56.0,False,False,0.7350020506783786,0.30885664694247633,0.10316846884089825,0.08157149474046799,0.3197322552840476,0.24402206108388041,0.21147,0,False
66331,2026-04-22 21:00:00+00:00,57.91,plan_b,footfall_plan_b,-0.8572187860600464,False,0.789337436584626,False,1.2725918188287697,False,0.48203859688548784,False,202.00261592432264,344.0,False,False,0.8572187860600464,0.36021357996789904,0.08728138644641362,0.015332593316230835,0.28457447965857346,0.3094560597290048,0.211372,0,False
66335,2026-04-22 21:00:00+00:00,213.23,plan_b,footfall_plan_b,-1.010888536991308,False,2.413904565974019,False,1.932305497002145,False,0.45707023177066997,False,69.67609481700799,2.0,False,False,1.010888536991308,0.42478744607522406,0.26691871879176027,0.023281034743346567,0.23356820080829105,0.10673965612135242,0.211059,0,False
66331,2026-04-21 22:00:00+00:00,39.68,plan_b,footfall_plan_b,-0.6719687547941632,False,1.145755634843512,False,0.8592012115303171,False,0.45403243168293195,False,266.29487608786127,158.0,False,False,0.6719687547941632,0.2823693025948472,0.12669250906258145,0.010351931042061602,0.22736247297412773,0.40794799959939904,0.210945,0,False
66330,2026-04-21 10:00:00+00:00,239.43,plan_b,footfall_plan_b,-1.0369896611599543,False,0.9089201214101256,False,0.1563498445520164,False,0.4852868586316316,False,147.0697017184712,52.0,False,False,1.0369896611599543,0.4357554504293845,0.10050430232851762,0.001883752941126311,0.2912101461766103,0.22530208428770257,0.210931,0,False
66330,2026-04-21 22:00:00+00:00,52.95,plan_b,footfall_plan_b,-0.7225119845250678,False,1.2009973925853608,False,0.3179684978481929,False,0.4576522177009006,False,247.676685298809,13.0,False,False,0.7225119845250678,0.30360817185503836,0.13280089437660872,0.0038309861754149328,0.2347571027050623,0.3794260325223913,0.210885,0,False
